,V,X,Y,Z
90,200849,21.56730253,25.39159054,19.09108006
91,379082,24.09581309,25.24192626,28.16154616
92,337974,25.00047862,25.70341417,24.56126356
93,245605,23.5661789,23.34085158,17.04070855
94,250506,23.19879128,21.77174617,22.9471185
95,357554,25.62171351,25.472877,23.73209429
96,318525,22.48608879,23.30012685,22.83881607
97,355390,25.23271591,26.00365882,27.69281195
98,245952,26.89941546,27.29425389,13.18716224
99,287950,24.86804452,24.69952305,22.16403254
100,239884,24.56127727,23.17967169,24.86620193
101,262064,22.0798233,25.37672077,15.5634888
102,186434,18.54217568,22.29901105,19.35863874
103,303893,28.53900772,25.83704624,19.94239815
104,255109,22.78029505,25.6223393,32.29989463
105,244484,26.47935152,20.39664804,25.56775112
106,172975,19.60428971,23.79421822,17.57724588
107,348486,24.8466677,26.90616747,28.6826938
108,245175,25.0986552,25.05070547,27.27810847
109,234031,17.74060802,22.98578199,18.69471737
110,275336,22.80235179,24.86516414,30.22469378
111,291202,31.22919762,27.09286776,17.44093611
112,345304,24.66004242,25.28552353,25.43452989
113,267711,23.29618739,25.26130602,15.00983573
114,171930,39.22097968,27.61206489,13.20097653
115,298489,25.85560676,26.22508358,21.23719165
116,379795,24.91377961,24.80941879,25.81738636
117,318996,22.98693143,23.81873727,20.96198235
118,344302,22.50609133,23.30826063,23.85270769
119,336114,27.85702805,24.8899783,20.2993651
120,167574,32.86958599,25.82308917,22.77547771
121,138805,22.24955951,21.39003684,33.99503444
122,222984,18.04889976,25.25476773,15.25293399
123,332100,21.94516103,25.57767502,27.35929261
124,311609,25.60611044,28.19525705,30.76899775
125,319601,26.22959785,25.42789837,26.88120478
126,237515,24.01273596,19.19285877,24.42290198
127,378537,26.72715573,27.75654226,28.6033176
128,397002,25.27945261,24.57611273,25.58817153
129,282224,22.44681464,21.60343999,21.2679927
130,319776,24.01189472,24.80445419,20.62358697
131,341238,24.7338697,25.48564442,25.22251144
132,207970,17.94673249,24.10887359,13.94153566
133,364662,25.70427871,28.81540633,28.71452979
134,259332,22.07064087,21.40980025,21.52996255
135,314115,25.36872038,25.45713055,27.7247738
136,325927,25.62168675,23.38047362,25.45002077
137,248344,19.1219963,22.79449821,18.06382516
138,282427,19.79446413,22.51163682,22.13245858
139,305569,27.82972519,26.57276663,17.74145091
140,239903,25.54262166,26.10466298,21.6621881
141,260871,19.07165786,24.33260847,17.35746091
142,214650,26.32282502,26.09401271,18.12949658
143,305936,25.61545894,25.9503733,27.75555556
144,321970,28.47991968,28.80722892,28.10793173
145,213797,18.55350414,24.22117558,16.27794524
146,356787,25.41367315,25.90425773,23.33766921
147,245540,22.72747301,20.35029742,23.11841815
148,293691,24.76324991,24.65062569,23.38976813
149,259376,26.29863641,20.80816072,24.22972832
150,214261,23.50693317,23.85758901,15.07720175
151,268897,31.03949352,26.87428399,17.68053462
152,297738,20.94169996,24.9166364,18.46331275
153,273576,26.88831987,24.74640536,18.23202679
154,269405,23.26082588,25.91721089,17.68813423
155,271763,27.32383136,24.13256254,18.47891957
156,295800,28.00919938,24.95910374,18.65333819
157,286230,28.7981478,25.24040824,26.49347949
158,350474,24.82527938,25.00554913,22.97795761
159,182225,20.47754801,22.02909897,22.68463811
160,264048,24.02202418,25.80854333,20.59270641
161,193288,14.68465987,22.07917929,17.64128339
162,302260,25.73450219,26.33983362,28.52607568
163,273212,23.73727893,25.18249185,25.61930639
164,314806,22.20629461,25.27508814,26.4010663
165,256474,27.59124934,25.68845546,22.38871903
166,238778,21.56351459,24.37393575,13.70110115
167,154088,25.59081633,21.07900875,35.60233236
168,361025,24.94680135,24.33954358,22.14298541
169,295104,26.22902784,25.30479233,18.29246919
170,323630,23.18002003,26.53396762,30.30570856
171,388002,25.22061281,25.97869081,27.74993036
172,284497,32.87050564,27.36229959,16.53410492
173,309374,24.88570179,25.39956275,26.90389156
174,308781,24.81189682,22.25583436,25.56895947
175,245087,21.80869373,27.04137246,15.07259488
176,310762,24.39982661,24.94902471,25.83068921
177,301345,25.90580749,24.16347016,18.29369063
178,354280,26.30251779,27.77554144,27.42618811
179,174888,36.82792367,28.73071277,14.23079432
180,310654,22.70585676,24.8840832,18.7374467
181,201464,25.88433087,22.37740417,21.40242098
182,221103,21.14674643,25.30252716,16.41325845
183,187035,16.53250599,23.77732337,20.47172472
184,227205,24.8228089,25.83149007,14.07717921
185,209796,26.98924043,19.98232356,26.83284232
186,373560,25.024249,24.85190011,22.92616721
187,331785,23.31394688,26.32596865,29.76866217
188,323369,24.711863,24.35805138,24.54759332
189,258131,24.34112836,22.28942953,25.08536074
190,216792,23.57231379,14.69822779,20.58619408
191,262246,27.21297253,25.96674241,28.21524478
192,309740,25.04658844,23.72976967,25.37592351
193,327113,25.95303343,25.56813867,23.25290962
194,303222,24.71836516,23.6294842,23.52927003
195,289706,32.05573248,27.12804421,18.76133383
196,302378,27.62074525,25.20637764,16.33715514
197,359301,26.36764483,28.07759794,28.23324762
198,320785,29.76247994,27.41177464,20.64988597
199,366071,24.90377956,23.90142194,21.5228763
200,133899,13.72652653,21.94614615,20.37917918
201,243241,25.46432553,22.93857302,26.55663322
202,394879,24.23231011,26.20250222,28.89136528
203,246300,23.83915854,23.19031445,14.87290457
204,287968,26.80912162,26.71227477,19.35472973
205,270698,26.89098866,22.40560971,26.27163318
206,263948,24.50431123,25.5431123,25.00513242
207,211017,39.67320261,27.88504421,14.31462258
208,252787,19.15898864,22.73784015,19.91343475
209,303741,23.43679488,22.39699742,23
210,353776,25.86158063,24.8205421,23.03068372
211,364686,25.49877714,26.35499889,28.07537242
212,248231,25.30831974,24.09983687,25.50723219
213,362201,23.32468018,25.80668811,28.36447969
214,277933,25.63624903,26.35647789,20.66873545
215,289213,25.05562815,24.33759567,25.56374837
216,319903,24.56964692,25.90680037,28.61472992
217,241759,20.5789767,21.5459815,18.19373537
218,285286,25.18706261,25.85369775,22.59362587
219,313213,24.10883825,22.5343518,23.9032453
220,350551,26.23841572,24.68283438,26.04919935
221,286176,22.98958432,24.36786289,17.71678818
222,277621,29.23684978,27.30004861,13.47788041
223,330199,28.10290992,27.13307177,21.42087625
224,212836,19.03481013,25.46873418,15.70126582
225,126170,16.73960984,13.55470738,24.84690416
226,329233,28.36800262,26.69772969,18.28087862
227,305034,25.15767524,26.21783496,26.84826974
228,199553,26.55086916,20.16695863,28.27098774
229,254019,29.57124532,26.98396579,13.18802779
230,177102,13.91395065,21.27337801,18.68032288
231,234955,32.8648804,27.0700322,19.00425483
232,179853,26.31818863,28.32538611,12.90838207
233,406998,24.36832302,26.20774297,28.95928956
234,342328,23.81147282,25.39364728,27.57182364
235,325555,26.57672528,26.13412409,20.5686795
236,367989,25.33896314,26.96820385,27.84351593
237,328021,22.41706473,25.78356119,29.64000988
238,307448,27.78797441,26.54185292,16.70304146
239,334529,25.11231797,23.85566015,26.22230268
240,346031,26.37966155,27.70847697,29.22743654
241,301752,24.01913619,26.48698918,29.05007601
242,277890,22.77475032,24.96518957,28.15242897
243,182169,30.94743855,25.88984306,13.3605271
244,290450,25.2395064,26.17434795,20.46657941
245,371225,26.69725303,25.38341668,26.84337175
246,286567,22.54536034,23.74347621,20.96429581
247,206671,32.29099217,27.99203655,15.83498695
248,314406,23.24181382,24.52811589,26.6617521
249,273211,24.71962245,24.35121709,19.99453552
250,275265,24.97178652,26.13189307,23.66568018
251,311538,23.05922136,25.86872453,17.1416804
252,334884,22.57916835,25.42914816,29.00419863
253,259166,26.42561205,26.22546558,12.39234149
254,363860,25.11073279,29.36180607,31.19430052
255,306910,28.50488944,26.23724782,28.12236807
256,307326,25.52843811,23.89505195,24.92894876
257,321710,24.59579106,24.41678544,24.09206003
258,342738,24.04799178,24.79166667,22.63251107
259,371062,27.36044403,25.11086121,21.34172531
260,277477,24.99542535,23.71111544,21.99162936
261,320847,24.33198415,25.31621553,24.34969222
262,172306,18.47997526,16.72924076,20.53533323
263,264482,21.83852518,22.29139005,20.59820243
264,301158,26.87432964,25.37567036,25.92938863
265,292204,29.77349598,28.42787173,26.0028648
266,258248,27.99446649,24.68740864,27.20703696
267,343191,24.56819432,24.62109897,19.64428897
268,341765,24.99936874,24.21462953,23.40187801
269,302891,24.86530211,22.58723632,20.47211298
270,329265,24.96671324,24.13314704,19.25807512
271,215182,22.11053952,25.52609787,13.65382685
272,276026,25.08802407,25.77552407,28.55502717
273,301892,24.03631983,24.84999108,23.8062645
274,205536,23.11762381,25.77370917,13.95864067
275,447377,26.33091173,25.15770674,26.09976995
276,334743,26.41680103,26.60762657,24.0606256
277,298273,29.70723744,27.06321422,17.85706512
278,375894,25.17449375,25.13054718,24.81243717
279,261196,32.47684994,26.80932203,14.60076478
280,290898,25.8758042,25.92615385,23.57967366
281,248556,20.59169475,22.75877813,19.43243831
282,225394,17.27795757,21.79455831,17.55136042
283,242386,23.23151448,19.9096882,23.3981069
284,293051,24.8309482,24.46237651,19.89557751
285,345242,24.26107681,25.20942408,26.09783543
286,378483,24.88463735,24.84494575,23.56531982
287,288145,25.11392048,21.06654761,24.18648369
288,282950,22.79629983,21.34293344,23.16631699
289,319473,25.41639289,25.47561284,20.65108247
290,206262,22.39407834,24.15341281,20.76785012
291,328431,26.81118361,24.9345007,25.50094986
292,285238,22.26516448,23.32857958,22.38125119
293,282237,24.84200992,25.50581617,24.3099733
294,356844,24.09733374,23.01507347,24.19428874
295,318033,24.98413776,23.87539231,22.25566206
296,306795,22.83663759,25.7027932,26.59467795
297,342853,26.52598016,27.24027712,28.47000472
298,307219,22.55541904,20.67169811,22.89600702
299,297718,25.48164848,21.79980161,24.77518261
